bvid,title,top_words,top_scores
BV17QrUBTEAt,我要吞噬掉所有星球来创造全新的宇宙！,宇宙 | 升級 | 吸收 | 星球 | 這邊 | 一下 | 一個 | 太陽 | 試試 | 太阳,0.3827 | 0.3132 | 0.2561 | 0.2406 | 0.2322 | 0.2311 | 0.1938 | 0.1667 | 0.1464 | 0.1464
BV1kU4y1r7fP,有趣的灵魂万里挑一，摆烂的理由多种多样！,休息 | 放在 | 包子 | 老板 | 主要 | 稍后 | 着急 | 对此 | 人去 | 主角,0.5443 | 0.4982 | 0.2471 | 0.1579 | 0.1383 | 0.1273 | 0.1273 | 0.1235 | 0.1203 | 0.1203
BV1ti4y1c7nu,【医学博士】死亡前的征兆是什么？I 猝死前如何正确自救,新机 | 新浪 | 学会 | 公司 | 血管 | 引起 | 父母 | 引发 | 休息 | 电视,0.3956 | 0.2967 | 0.1783 | 0.1512 | 0.1424 | 0.1329 | 0.1253 | 0.124 | 0.1225 | 0.1171
BV12TGXzrECG,替活业务已初见端倪。,我俩 | 儿子 | 底线 | 我来 | 他俩 | 毫无 | 上班 | 老公 | 享受 | 感谢,0.5089 | 0.3579 | 0.3054 | 0.1971 | 0.1888 | 0.1702 | 0.1641 | 0.1554 | 0.1415 | 0.1278
BV1cp4ezSENV,原价699元的帝王蟹佛跳墙，打骨折才卖209元，这么便宜质量如何？,外賣 | 應該 | 咱們 | 剪刀 | 一個 | 其實 | 一下 | 價格 | 那種 | 第一次,0.3672 | 0.3351 | 0.2387 | 0.2263 | 0.2215 | 0.2156 | 0.1844 | 0.1818 | 0.1505 | 0.1492
BV1BN411B7Eb,学会这套心态建设，破解一切压力！轻松拿捏考学职场生活压力,考验 | 数学 | 思维 | 经验 | 目标 | 规划 | 赚钱 | 计划 | 压力 | 感觉,0.4225 | 0.3538 | 0.3465 | 0.333 | 0.3201 | 0.2321 | 0.154 | 0.1441 | 0.122 | 0.1075
BV1B4421Q7jt,（ 狮 兄 当 老 板 ， 神 仙 都 得 喘 ）,坐坐 | 谢谢 | 控制 | 快来 | 天真 | 留个 | 嘴巴 | 放过 | 一本 | 东西,0.4268 | 0.3806 | 0.252 | 0.2061 | 0.2061 | 0.1947 | 0.19 | 0.19 | 0.1786 | 0.1707
BV1PE421u7cw,上节目摆烂带娃，女儿哭了我也跟着哭【P4】,女兒 | 老爸 | 考慮 | 怎麼 | 兒子 | 媽媽 | 幸福 | 一個 | 關於 | 難道,0.3042 | 0.2173 | 0.1977 | 0.1703 | 0.1651 | 0.1582 | 0.1503 | 0.147 | 0.1344 | 0.1269
BV1Cf4y1W7av,马云的福报来了,商業 | 動力 | 公益 | 心態 | 日常 | 用到 | 最大 | 工作,0.4363 | 0.4053 | 0.4053 | 0.3826 | 0.3496 | 0.3496 | 0.247 | 0.1709
BV1SV4y1u7E6,【小心肝～】加班996熬夜党必看！酒精人偷偷内卷背后功臣竟然是它？,朝鲜 | 身体 | 堅持 | 人群 | 几次 | 英雄 | 保护 | 专业 | 后来 | 进去,0.2015 | 0.1641 | 0.1602 | 0.1602 | 0.1534 | 0.1494 | 0.1368 | 0.1342 | 0.1253 | 0.1234
BV1TU4y197um,“当代摆烂猫现状...”,学学 | 太子 | 下来 | 我要,0.6685 | 0.5821 | 0.3361 | 0.3184
BV1AY411w7zE,花1亿给员工包车，20年没人离职！他跟996对着干，却年赚230亿,品牌 | 中國 | 國際 | 日本 | 市場 | 企業 | 行業 | 一個 | 擁有 | 父親,0.3529 | 0.3356 | 0.2613 | 0.2361 | 0.2185 | 0.1905 | 0.1561 | 0.14 | 0.1207 | 0.1207
BV1yxr9B8EjY,AI电影短片 | 暖惊悚 x 科幻人文《守夜人与摇篮曲》【B站AI创作大赛-开放赛道】,需求 | 手机 | 妈妈 | 五百 | 上午 | 人类 | 老板 | 死去 | 在手 | 三点,0.4437 | 0.443 | 0.4303 | 0.1748 | 0.1723 | 0.1635 | 0.1337 | 0.1116 | 0.1046 | 0.1046
BV1mE7WzuEvN,教育内卷，已经到了必须要结束的时候了,考試 | 教育 | 一個 | 制度 | 人才 | 中國 | 培養 | 學生 | 高考 | 畢業,0.3413 | 0.298 | 0.2894 | 0.2132 | 0.1919 | 0.185 | 0.1663 | 0.1391 | 0.1313 | 0.1313
BV1rH4y1p7VF,现在驱动大家去工作的，不再是欲望，而是恐惧,上班 | 很棒 | 工作 | 更好 | 买房 | 失业 | 职场 | 互联 | 正前 | 我要,0.3715 | 0.2954 | 0.2437 | 0.1846 | 0.1659 | 0.1603 | 0.1603 | 0.1603 | 0.1603 | 0.158
BV1krPAejE7v,我要爬上月球玩到世界上最高的过山车！ROBLOX,速度 | 加加 | 上去 | 下去 | 右边 | 加速 | 一下 | 上面 | 加油 | 一個,0.283 | 0.2472 | 0.2251 | 0.2191 | 0.2183 | 0.1975 | 0.1975 | 0.1961 | 0.1875 | 0.1739
BV1x6BeBqE6v,下班花78块买一堆打折菜回出租屋里一个人过生日吃羊蝎子火锅,蛋糕 | 打车 | 好吃 | 下入 | 再来 | 一下 | 下来 | 鸡肉 | 过来 | 来来来,0.4006 | 0.2712 | 0.259 | 0.2179 | 0.2124 | 0.1794 | 0.1753 | 0.1592 | 0.1575 | 0.1566
BV1jd4y1Q7YC,5毛闪电爽！小时候的“躺平糖果”，大把大把炫太过瘾了！,嘴巴 | 糖果 | 平均 | 小时候 | 上学 | 放学 | 上面 | 那种 | 好吃 | 记得,0.3033 | 0.2632 | 0.2465 | 0.2046 | 0.182 | 0.1779 | 0.1739 | 0.1662 | 0.1656 | 0.1555
BV1dy4y177ME,全国政协委员李国华建议: 对996工作制进行监管,企業 | 現象 | 制度 | 工作 | 大小 | 進行 | 表示 | 存在 | 困難 | 互聯網,0.5248 | 0.2843 | 0.2368 | 0.2345 | 0.2284 | 0.2146 | 0.2126 | 0.1822 | 0.1542 | 0.1542
BV1zeApefECk,太离谱了！居然还可以这么工作,努力 | 疫苗 | 明天 | 工人 | 海外 | 空氣 | 早期 | 專門 | 花花 | 勞動,0.437 | 0.3735 | 0.2507 | 0.247 | 0.1977 | 0.1868 | 0.1868 | 0.1823 | 0.1823 | 0.1823
BV1uo4y1w7rL,当代00后整顿职场,過了 | 下班 | 我還 | 一分 | 想法 | 怎麼 | 他現 | 到底 | 平日 | 行走,0.3482 | 0.3361 | 0.3002 | 0.279 | 0.2348 | 0.1949 | 0.1857 | 0.1849 | 0.1741 | 0.1695
BV19oBKYkEqL,赵老师布置的作业太多了...1班直接集体摆烂！,日本 | 好吃 | 得到 | 花椒 | 都行 | 请问 | 太好了 | 太太 | 一模 | 特色,0.3149 | 0.2819 | 0.2448 | 0.224 | 0.2174 | 0.2065 | 0.202 | 0.202 | 0.1978 | 0.1941
BV1dDp4zkEEb,当你工作压力很大，但又不会抽烟时belike：,一下,1.0
BV141421t7gG,小伙饿坏了，买了一份广东打工人最爱的猪脚饭，狼吞虎咽吃着很过瘾,广州 | 转转 | 辣椒 | 兄弟 | 米饭 | 广东 | 平台 | 便宜 | 一辆 | 一下,0.3801 | 0.3333 | 0.3124 | 0.2551 | 0.161 | 0.161 | 0.1606 | 0.1567 | 0.1562 | 0.1543
BV1RvAzeAEP9,我不想一辈子都给有钱人当奴隶，妈妈,一個 | 一輩子 | 父母 | 表情 | 父親 | 爺爺 | 那兒 | 一張 | 過的 | 一樣,0.3246 | 0.2905 | 0.2626 | 0.193 | 0.1658 | 0.1658 | 0.1592 | 0.1492 | 0.1492 | 0.1372
BV1Ab4y187eb,你努力学习 树叔很开心；但是你内卷的态度，树叔不喜欢...,少爷 | 太快 | 重视 | 带走 | 反应 | 不吃 | 放到 | 马上 | 本来 | 增加,0.395 | 0.3702 | 0.3305 | 0.3093 | 0.3006 | 0.2826 | 0.2708 | 0.2419 | 0.24 | 0.2348
BV1tY411F7kV,花里胡哨？相对与普通办公椅子，人体工学椅是如何让你坐的健康又舒适,支撑 | 不同 | 椅子 | 身高 | 放松 | 身体 | 往后 | 进行 | 高度 | 舒适,0.4085 | 0.2247 | 0.2077 | 0.2073 | 0.201 | 0.1888 | 0.173 | 0.1602 | 0.1532 | 0.1441
BV1FRTszMEMH,企业家光鲜的背后，是压力和责任！,一遍 | 公司 | 每天 | 一個 | 資格 | 真正 | 月光 | 一行 | 學生 | 老師,0.6436 | 0.4439 | 0.227 | 0.221 | 0.1626 | 0.1594 | 0.157 | 0.1416 | 0.1416 | 0.136
BV1FC4y1n73U,一个方法同时改善记忆力、专注力、创造力、压力感，脑科学研究：对大脑最好的投资！,大脑 | 运动 | 注意力 | 信息 | 活动 | 压力 | 增加 | 散步 | 分钟 | 提升,0.6702 | 0.2675 | 0.1676 | 0.1491 | 0.1416 | 0.1244 | 0.1144 | 0.1097 | 0.1073 | 0.1023
BV1F44y1G74w,985废物 考研失败 小县城工作 摆烂都需要门槛了,考虑 | 蛋糕 | 一碗 | 一遍 | 本事 | 那像 | 讲话 | 思念 | 差一点 | 不到,0.3066 | 0.2634 | 0.2521 | 0.2185 | 0.16 | 0.1552 | 0.1552 | 0.1552 | 0.1552 | 0.1548
BV1ErokYNEaj,0324纸牌-古代篡位真不容易2摆烂吧老铁,家族 | 一步 | 影子 | 将近 | 培养 | 下载 | 看待 | 古代 | 医生 | 去世,0.836 | 0.1841 | 0.149 | 0.1422 | 0.1422 | 0.1422 | 0.1422 | 0.1393 | 0.1367 | 0.1343
BV1Lo4y157Pa,我 不 学 习,謝謝 | 牛排 | 信息 | 超級 | 再來 | 進去 | 小姐 | 中間 | 有什麼 | 同學,0.6208 | 0.3992 | 0.3493 | 0.3396 | 0.1729 | 0.1698 | 0.1698 | 0.1643 | 0.1643 | 0.1618
BV1Fh411T7AK,青蛙卖崽都这么内卷的吗？,青蛙 | 一位 | 娃娃 | 技巧 | 不僅 | 不敢 | 演唱 | 練習 | 水上 | 延迟,0.8702 | 0.3576 | 0.1345 | 0.1144 | 0.1008 | 0.0765 | 0.0696 | 0.0696 | 0.0673 | 0.0673
BV1TV411u7oW,它没钱没流量，却吊打内娱古偶摆烂的市场！【古相思曲】,不少 | 能够 | 男生 | 一世 | 一個 | 故事 | 不願 | 內容 | 喜歡 | 作者,0.3506 | 0.3225 | 0.2179 | 0.1667 | 0.1449 | 0.1312 | 0.1284 | 0.1193 | 0.1174 | 0.1169
BV1ub4y1x7Tc,《情侣间的内卷行为》最近天气变暖和了，和男朋友一起减肥竟然发生了这些事,干嘛 | 我俩 | 玉米 | 下个 | 我怕 | 天气 | 行为 | 快点 | 风险 | 运动,0.6145 | 0.2593 | 0.2405 | 0.2271 | 0.2271 | 0.2123 | 0.1921 | 0.1921 | 0.1895 | 0.1846
BV1ETKPejEnK,34岁成功转外企，如何在没有考试压力的情况下把英语捡起来？教你3个方法,资料 | 学习 | 音乐 | 程度 | 口语 | 节奏 | 一块钱 | 报名 | 经典 | 方式,0.6284 | 0.4876 | 0.3166 | 0.1262 | 0.1098 | 0.0938 | 0.0938 | 0.0938 | 0.0882 | 0.0803
BV1Vz4y1A7LT,前方高能！这10个神器真的是打死也不能删！,生成 | 神器 | 網站 | 打開 | 自動 | 視頻 | 輸入 | 免費 | 就會 | 選擇,0.5958 | 0.3479 | 0.2609 | 0.2548 | 0.2323 | 0.1789 | 0.1739 | 0.163 | 0.1515 | 0.1231
BV1yKZxB4EeY,假如神仙赐福也内卷,机箱 | 报复 | 出手 | 合法 | 未必 | 几点 | 宝贝 | 一体 | 指出 | 一辈子,0.2664 | 0.2574 | 0.2497 | 0.2431 | 0.232 | 0.232 | 0.232 | 0.2273 | 0.2273 | 0.2229
BV1YK411x7Tg,【断网补全计划26】南方小土豆，古埃及掌管xx神，张杰卫视，麒麟牙刷，巨人音乐会，漫展无料，五月天科目三，奥德彪全名，一菊腚输赢，电影解说内卷，赛博道歉声明,网友 | 电影 | 南方 | 唱歌 | 解决 | 比赛 | 举报 | 后来 | 演唱 | 一部,0.3593 | 0.2019 | 0.1635 | 0.1416 | 0.1396 | 0.1326 | 0.1322 | 0.1316 | 0.1269 | 0.124
BV1KpYveDEJb,这样的提拔让我压力山大,压力 | 说明 | 提升 | 下一代 | 公民 | 有所 | 交给 | 地位 | 一会儿 | 吃饭,0.4914 | 0.408 | 0.3466 | 0.2754 | 0.2539 | 0.2343 | 0.2343 | 0.2267 | 0.1936 | 0.1917
BV1xHtYzsEpd,赵露思别装打工人了好吗？,妹妹 | 網友 | 一個 | 直播 | 行業 | 普通人 | 怎麼 | 十年 | 回來 | 一號,0.4371 | 0.2979 | 0.2779 | 0.1857 | 0.1803 | 0.1654 | 0.1463 | 0.1274 | 0.1241 | 0.1115
BV1U5411T7tV,【社会观察】996的实质：不！是！剥！削！,九九 | 位子 | 小時 | 六點 | 一個 | 通情 | 本質 | 星期天 | 我覺 | 這些,0.3368 | 0.2159 | 0.2072 | 0.1863 | 0.1857 | 0.1746 | 0.1571 | 0.1552 | 0.1501 | 0.1498
BV1bd4y1D7Au,女孩连续熬夜加班猝死 996加班文化得罚,促死 | 调查 | 加班 | 连续 | 家庭 | 工作 | 底线 | 久久 | 联网 | 晚期,0.3087 | 0.2639 | 0.2521 | 0.2435 | 0.1938 | 0.1632 | 0.1543 | 0.1543 | 0.1482 | 0.1431
BV1rq4y1M7pY,人社部最高法明确“996和007”全部违法,勞動 | 勞動者 | 加班 | 單位 | 公司 | 合同 | 用人 | 支付 | 解除 | 拒絕,0.4331 | 0.3095 | 0.3009 | 0.2907 | 0.2817 | 0.2362 | 0.2263 | 0.1683 | 0.1614 | 0.1509
BV1Mq4y1h7gj,2022国产古偶盘点！全员流量，疯狂内卷！,一個 | 有點 | 今年 | 故事 | 視頻 | 解釋 | 改變 | 依然 | 一條 | 關注,0.3256 | 0.1858 | 0.1655 | 0.1588 | 0.1516 | 0.1444 | 0.1363 | 0.1354 | 0.1319 | 0.128
BV19QpLzGEWX,律师的压力还是太大了 这么小众的爱好也能同频,石头 | 小河 | 说话 | 刷牙 | 很棒 | 照顾 | 能量 | 开心 | 我会 | 一块,0.7261 | 0.3227 | 0.1659 | 0.1559 | 0.1437 | 0.1264 | 0.1118 | 0.1055 | 0.0966 | 0.0953
BV1kyo5YbE82,恩情第二弹｜平时工作压力可能太大！,千万,1.0
BV1AZ4y1v7xp,这躲猫猫就离谱，把我变成大飞机，你告诉我藏哪合理？,运气 | 点赞 | 变成 | 一轮 | 游戏 | 垃圾 | 地图 | 拿来 | 记得 | 合理,0.2656 | 0.2535 | 0.2295 | 0.2214 | 0.1821 | 0.1813 | 0.1779 | 0.1665 | 0.1617 | 0.1538
BV1NV411b7Kc,24岁，熬夜，中风。,不過 | 做過 | 這一個 | 六次 | 懷疑 | 這部 | 神經 | 熬夜 | 這點 | 右邊,0.2737 | 0.1979 | 0.1979 | 0.1979 | 0.1979 | 0.1979 | 0.1926 | 0.1926 | 0.1926 | 0.188
BV1iy4y1W79u,员工拒绝加班被判赔偿公司1万8后续，拒绝加班有错吗？,公司 | 加班 | 法院 | 損失 | 勞動者 | 拒絕 | 此案 | 新聞 | 任務 | 員工,0.3486 | 0.3258 | 0.3141 | 0.2992 | 0.2873 | 0.245 | 0.1995 | 0.1795 | 0.1705 | 0.1346
BV1rgtnz5EwX,育儿补贴发布现状,医院 | 市场 | 出現 | 个人 | 我要,0.544 | 0.4949 | 0.46 | 0.3894 | 0.3097
BV1oT411H7NU,“我挑不动，她能挑动”哪有什么技巧，只不过是生活的压力比肩上的担子更重！,东西,1.0
BV1CM4y1i7e1,《反内卷》,学习 | 放开,0.8897 | 0.4566
BV1qg411S78S,你肯定猜不到，这竟是缓冲工作疲劳的最佳方式!,甚麼 | 不過 | 歌曲 | 當時 | 完全 | 表示 | 科技 | 程度 | 開始 | 使用,0.2417 | 0.2256 | 0.2175 | 0.1766 | 0.1563 | 0.1545 | 0.1531 | 0.139 | 0.1291 | 0.1275
BV1Nw4m1o7MJ,职 场 废 物 3,電腦 | 下班 | 開始 | 回來 | 一眼 | 同時 | 屏幕 | 這是 | 接著 | 早上,0.3521 | 0.2386 | 0.22 | 0.2199 | 0.2076 | 0.2054 | 0.1975 | 0.1727 | 0.1625 | 0.162
BV1hC4y1Y7CR,蛋仔派对：秀儿摆烂了？拒绝躺平，勇闯冰雪大世界！,看来 | 快来 | 一张 | 玩笑 | 姐姐 | 出发 | 兄弟 | 一色 | 大声 | 写下,0.8716 | 0.1343 | 0.1287 | 0.1238 | 0.1106 | 0.1073 | 0.0851 | 0.0724 | 0.0695 | 0.0672
BV1SX4y1w7St,现在的文具已经内卷成这样了吗？每一个都在我的意料之外！,一块 | 切换 | 面包 | 一本 | 一只 | 一把 | 味道 | 原来 | 普通 | 一下,0.4805 | 0.3931 | 0.3623 | 0.3405 | 0.3288 | 0.2661 | 0.2473 | 0.2402 | 0.2322 | 0.1256
BV1Ka4y1D7X1,当代大学生内卷现状,人选 | 这位 | 吃饭 | 不行 | 小小 | 呼吸 | 严重 | 干什么 | 一口 | 小时,0.7022 | 0.3118 | 0.2518 | 0.2251 | 0.1539 | 0.1446 | 0.1372 | 0.1259 | 0.113 | 0.1017
BV1JP4y1K7Hs,事事摆烂必遭重拳出击,打野 | 人头 | 干嘛 | 这笔 | 举报 | 上路 | 中路 | 支援 | 让给 | 几位,0.598 | 0.3987 | 0.2362 | 0.1329 | 0.1329 | 0.1276 | 0.1276 | 0.1276 | 0.1233 | 0.1233
BV1gw411f7ja,远程办公真实现状与职场人的压力 附小剧场 之 演技已经不尬了篇,办公 | 日本 | 一個 | 自觉 | 网站 | 远程 | 領導 | 这帮 | 睡眠 | 公司,0.3414 | 0.3384 | 0.2432 | 0.2301 | 0.1925 | 0.1534 | 0.1308 | 0.1308 | 0.1239 | 0.1221
BV1Hr4y157xw,不锈钢套餐，从来没怕过！,無效 | 挑戰 | 一個 | 會不會 | 不著 | 你還 | 再來 | 哈哈哈哈 | 雖然 | 好看,0.9502 | 0.1646 | 0.1337 | 0.0984 | 0.095 | 0.0897 | 0.0823 | 0.0782 | 0.0661 | 0.0655
BV1Ny4y1x7Gu,百万劳工换来的8小时工作制，不能被996毁掉！,日本 | 八小時 | 工人 | 工作 | 公司 | 經濟 | 下班 | 一八 | 開始 | 危機,0.4442 | 0.2766 | 0.2714 | 0.2703 | 0.2606 | 0.1797 | 0.1727 | 0.1636 | 0.1593 | 0.1493
BV1ez4y1C7WP,要不是偶然拍到了，你都不敢相信这是真的,兩位 | 青春 | 夏天 | 一樣 | 一笑 | 存在 | 不會 | 能源 | 遺憾 | 你會,0.46 | 0.4312 | 0.4197 | 0.3524 | 0.2874 | 0.175 | 0.1696 | 0.1597 | 0.1481 | 0.1335
BV1dDuyzbE9j,他刚入职海底捞就摆烂，一天180嫌少,女友 | 領導 | 兩人 | 工作 | 海底 | 這份 | 影響 | 風扇 | 離職 | 強度,0.4321 | 0.2622 | 0.2401 | 0.2257 | 0.2227 | 0.2103 | 0.1779 | 0.1537 | 0.1537 | 0.1485
BV1z4421Z7Qq,如何摆脱无力感，找到自驱力？一定要听到最后,恐惧 | 压力 | 训练 | 有效 | 行动 | 长期 | 系统 | 工作 | 完美 | 科学,0.2774 | 0.246 | 0.2254 | 0.2127 | 0.1923 | 0.1868 | 0.1705 | 0.1674 | 0.1656 | 0.1538
BV1M44y1s7vQ,初中生尝试在寒假最后一天用生命卷完所有作业！！！,开学 | 所有人 | 我能 | 我要 | 上次 | 学习 | 下去 | 好好 | 我该 | 这道,0.3473 | 0.3136 | 0.2386 | 0.2382 | 0.2242 | 0.1929 | 0.1903 | 0.1721 | 0.1611 | 0.1563
BV1p14y1v757,大胆创新or摆烂升级？iPhone 14 Pro上手评测,苹果 | 功能 | 照片 | 屏幕 | 相处 | 音乐 | 能够 | 小时 | 设置 | 模式,0.3643 | 0.2508 | 0.2508 | 0.1708 | 0.153 | 0.1401 | 0.1393 | 0.1393 | 0.1392 | 0.1305
BV1bq4y1R7nZ,这 年 头 ，连 神 仙 都 内 卷 成 这 样 了 ？！,血量 | 满足 | 超级 | 听说 | 刚才 | 三个 | 几期 | 台词 | 两颗 | 大王,0.333 | 0.2974 | 0.274 | 0.2676 | 0.224 | 0.1931 | 0.187 | 0.1807 | 0.1807 | 0.1753
BV1fT411L7JV,跟奶龙一起跳舞 顺便把地板洗白白吧 有了石头小8 随意躺平吃瓜 #家务88日#  @石头科技,白白 | 就让 | 啊啊啊 | 不许 | 小白 | 快快 | 好久 | 奇怪 | 习惯 | 身边,0.9063 | 0.2814 | 0.2559 | 0.0824 | 0.0799 | 0.0759 | 0.0678 | 0.0617 | 0.0597 | 0.0548
BV1aM411F7q6,《甜王假吃被发现后逐渐摆烂》,乾脆 | 鸡肉 | 听到 | 后面 | 一句,0.8227 | 0.3607 | 0.2688 | 0.2489 | 0.2427
BV1e94y1S7GA,你身边有没有劝你躺平，而却又悄悄努力的人,手机 | 胖子 | 对付 | 我错 | 奶茶 | 老百姓 | 正确 | 承认 | 我家 | 厉害,0.5233 | 0.3076 | 0.2971 | 0.2971 | 0.2806 | 0.2679 | 0.2341 | 0.2341 | 0.2226 | 0.2153
BV1AS4y1Q72a,这玩意就是内卷之王吧！,花椒 | 一碗 | 動畫 | 火腿 | 蛋白 | 超多 | 其實 | 超級 | 美食 | 提前,0.6038 | 0.1784 | 0.1563 | 0.1563 | 0.1465 | 0.1465 | 0.1329 | 0.1284 | 0.1243 | 0.1224
BV1fS4y1J75e,女子在法国因一周工作40小时被谈话，法国一年休息144天，不休完还发钱。,做法 | 两块 | 难道 | 这件,0.7576 | 0.4327 | 0.3582 | 0.3323
BV1Nm4y1S7LH,麦乐鸡侠之破产风波,网站,1.0
BV1MZ4y1q7Me,躺平躲猫猫：我变成一棵树，你让我合理躲藏？我呸！,合理 | 怎麼 | 小手 | 游戏 | 嘿嘿嘿 | 順利 | 不合理 | 不會 | 放在 | 一颗,0.4226 | 0.2626 | 0.1668 | 0.1608 | 0.1564 | 0.1522 | 0.1486 | 0.1384 | 0.1351 | 0.1307
BV1hrt4z7EBu,2025年最拧巴自助，吃了一肚子无名火,烤串 | 烤肉 | 自助 | 宣传 | 还行 | 政治 | 味道 | 老板 | 十足 | 时间,0.729 | 0.4784 | 0.246 | 0.1464 | 0.082 | 0.0696 | 0.0665 | 0.0655 | 0.0634 | 0.0556
BV1HR4y1s7X4,欢迎大家观看大型厨具内卷连续剧，选手电饼铛作为新星出战～,分鐘 | 芝士 | 芝麻 | 豆腐 | 一塊 | 一碗 | 準備 | 做好 | 一樣 | 加上,0.601 | 0.4821 | 0.2009 | 0.176 | 0.1489 | 0.1468 | 0.1322 | 0.1199 | 0.1108 | 0.1087
BV1CN411P7JK,爱逃课让我躲过了应试教育摧残,教育 | 那种 | 中学 | 有时候 | 当时 | 大学 | 一边 | 职业 | 比如说 | 坐在,0.3669 | 0.2467 | 0.2251 | 0.2064 | 0.199 | 0.1733 | 0.1733 | 0.1702 | 0.131 | 0.125
BV1vmwEe6Emr,欧盟禁令来了，倒逼5天8小时工作？针对意味太明显！,企业 | 老板 | 调查 | 显然 | 举报 | 销售 | 禁止 | 出口 | 设置 | 比如说,0.351 | 0.2044 | 0.2026 | 0.1904 | 0.1778 | 0.1557 | 0.1456 | 0.1456 | 0.1456 | 0.1415
BV1JM411B79z,猫：讨厌一些没有边界感的食客,,
BV1CC4y1n7KQ,外国有宾利姐，中国有跑酷妹。     内卷大比拼—跑酷说车,上车 | 哥哥 | 甜蜜 | 爱情 | 升级 | 来看 | 一下,0.6445 | 0.5239 | 0.4523 | 0.2101 | 0.1919 | 0.1377 | 0.0745
BV1yV41177CV,第1期（下）：职场到底有多“卷”？【非正式会谈第6.5季】,一個 | 我覺 | 其實 | 房間 | 節目 | 然後我 | 一下 | 當中 | 謝謝 | 一點,0.5606 | 0.264 | 0.2541 | 0.1475 | 0.1361 | 0.1338 | 0.1323 | 0.1281 | 0.1244 | 0.1127
BV1Ak4y1h7ZA,本科生进厂两年了，已经麻木的习惯了这种生活。从开始的4000块，到现在9000多块。没有社交，没时间花钱，赚多少，存多少，平凡记录这一天的美好。,来来来 | 生氣 | 退休,0.8812 | 0.3511 | 0.3165
BV1Vr4y1z7R6,别卷了,没想到 | 下班 | 老板,0.6528 | 0.5376 | 0.5337
BV1VMrnYWEwN,1块钱一瓶可乐 10块钱吃到撑 被制裁的伊朗 真正的挂壁天堂,咖啡 | 块钱 | 超大 | 国内 | 一块 | 应该 | 人比 | 小米 | 价格 | 里边,0.3008 | 0.1985 | 0.1934 | 0.1847 | 0.1624 | 0.1613 | 0.1604 | 0.1604 | 0.1556 | 0.1458
BV1oWT6zCEBR,下雨天一个人在上海出租屋花85块涮火锅，简简单单但超快乐,豆皮 | 猫猫 | 炒炒 | 火锅 | 酱油 | 来来来 | 五块 | 好吃 | 炒饭 | 牛肉,0.3924 | 0.3437 | 0.2854 | 0.244 | 0.1985 | 0.1937 | 0.1926 | 0.1873 | 0.1784 | 0.1753
BV1SR4y1A75G,当大爷大妈们开始内卷，连风筝都开始疯狂！你大爷永远是你大爷！,中國 | 更長 | 十足 | 團隊 | 不到 | 各地 | 空間 | 內容 | 粉絲 | 飛機,0.4688 | 0.2249 | 0.2086 | 0.2024 | 0.2019 | 0.1923 | 0.188 | 0.188 | 0.188 | 0.1842
BV18F411W7bi,成年人的破防只需要18块8。,这家 | 民众 | 打下 | 出品 | 全部都是 | 很长 | 一瞬间 | 家家 | 来讲 | 太太,0.3587 | 0.229 | 0.2146 | 0.2089 | 0.2089 | 0.2039 | 0.2039 | 0.2039 | 0.1994 | 0.1994
BV1a64y1W76X,掏心建议：普通人除了内卷和躺平之外，最该走的第三条路,共识 | 热爱 | 躺平 | 社会 | 国家 | 教育 | 机极 | 蛋糕 | 内卷 | 资本,0.4061 | 0.3476 | 0.1879 | 0.1666 | 0.1645 | 0.1492 | 0.1448 | 0.1431 | 0.1368 | 0.1335
BV1pi4y1U7sn,意见接受 态度照旧,俗话说 | 经营 | 不能不 | 跑步 | 没想 | 今晚 | 忽略 | 相互 | 见到 | 时代,0.2718 | 0.2718 | 0.2568 | 0.2568 | 0.2506 | 0.2451 | 0.2451 | 0.2204 | 0.2142 | 0.2114
BV1wjcfecEaH,躲避老师追查：在学校里建造密室，躲避老师996？上,秘密 | 一位 | 上课 | 找到 | 克斯 | 学生 | 学校 | 快速 | 入口 | 同学,0.8156 | 0.1956 | 0.178 | 0.1474 | 0.1104 | 0.1022 | 0.101 | 0.101 | 0.0995 | 0.091
BV1ft4y147kx,躺平躲猫猫：高铁这么个大家伙，让我藏到哪？谁能告诉我,突破 | 随机 | 明显 | 东西 | 小人 | 没错 | 一轮 | 游戏 | 样子 | 不合理,0.6165 | 0.271 | 0.2273 | 0.1683 | 0.1648 | 0.1489 | 0.1461 | 0.1352 | 0.1251 | 0.1249
BV1ngxCejEk1,你的世界变大了，工作那点破事儿就变小了,里边 | 工作 | 生活 | 调整 | 上班 | 心态 | 情绪 | 无法 | 比如说 | 努力,0.3848 | 0.3554 | 0.2981 | 0.2886 | 0.2032 | 0.1731 | 0.1568 | 0.1555 | 0.1505 | 0.1291
BV1cL411u7Mw,勇 者 王 诞 生 ~摆 烂 人 神 话~,学生 | 欢迎 | 飞机 | 几个 | 听不懂 | 太好了 | 知名 | 不看 | 展开 | 生物,0.4165 | 0.371 | 0.2812 | 0.2799 | 0.2592 | 0.2535 | 0.2483 | 0.2483 | 0.2436 | 0.2186
BV1tK4y1j7dq,996透支未来，影响延迟退休，有碍于2035国家大计,退休 | 老金 | 美国 | 工作 | 延迟 | 年齡 | 完成 | 资本家 | 法国 | 提高,0.6077 | 0.2864 | 0.2542 | 0.233 | 0.1839 | 0.1692 | 0.1459 | 0.1388 | 0.1322 | 0.1305
